step,env_idx,ep_r,ep_len,ep_kills,terminated,truncated
2286,0,0.8240,1144,0,1,0
2286,1,1.0799,1144,0,1,0
2962,1,-0.2821,338,0,1,0
3570,1,-0.4691,304,0,1,0
3572,0,0.1794,643,0,1,0
4200,1,-0.3217,315,0,1,0
4492,0,-0.2116,460,0,1,0
6264,1,1.2980,1032,0,1,0
7410,0,2.9793,1459,1,1,0
7774,1,0.2799,755,0,1,0
8456,0,0.8369,523,1,1,0
9092,0,0.4930,318,1,1,0
9942,0,-0.3581,425,0,1,0
11374,1,5.1008,1800,0,0,1
13542,0,3.5719,1800,1,0,1
13770,0,-0.5155,114,0,1,0
14974,1,4.5689,1800,0,0,1
17370,0,5.4393,1800,1,0,1
18574,1,5.9811,1800,2,0,1
18624,1,-0.7435,25,0,1,0
20970,0,5.6299,1800,1,0,1
22224,1,5.8758,1800,3,0,1
23774,1,0.7707,775,0,1,0
24570,0,5.6884,1800,2,0,1
24872,1,0.0208,549,0,1,0
28170,0,3.3998,1800,0,0,1
28472,1,5.1398,1800,2,0,1
30354,0,2.1796,1092,1,1,0
31136,1,2.2547,1332,1,1,0
31372,0,-0.1001,509,0,1,0
32844,1,0.2415,854,0,1,0
33094,0,0.4525,861,0,1,0
33266,1,-0.5815,211,0,1,0
33772,1,-0.2319,253,0,1,0
34522,1,-0.5481,375,0,1,0
34950,1,-0.5647,214,0,1,0
36694,0,4.0556,1800,0,0,1
37242,1,1.7126,1146,1,1,0
37556,0,1.0734,431,1,1,0
38510,1,0.2100,634,0,1,0
39338,0,3.2917,891,3,1,0
39860,1,1.0906,675,1,1,0
40142,1,-0.7955,141,0,1,0
41140,0,1.6962,901,1,1,0
41408,0,-0.4832,134,0,1,0
42438,1,0.9173,1148,0,1,0
42810,0,1.1304,701,1,1,0
42992,1,-0.3922,277,0,1,0
43590,0,0.5476,390,1,1,0
46592,1,5.3222,1800,0,0,1
47190,0,4.9928,1800,1,0,1
50192,1,5.9624,1800,0,0,1
50790,0,4.6830,1800,0,0,1
53792,1,5.6037,1800,1,0,1
54390,0,4.8622,1800,1,0,1
54938,1,1.1211,573,1,1,0
55218,1,-0.7187,140,0,1,0
56088,1,0.1066,435,0,1,0
57260,0,2.6455,1435,1,1,0
59576,0,0.5353,1158,0,1,0
59688,1,3.1877,1800,0,0,1
60122,1,0.3691,217,1,1,0
60204,0,-0.0699,314,0,1,0
60708,1,1.1739,293,2,1,0
60932,0,-0.2968,364,0,1,0
61330,0,-0.5672,199,0,1,0
61832,0,-0.4502,251,0,1,0
62730,0,0.6161,449,1,1,0
63546,0,0.7898,408,1,1,0
64308,1,5.2736,1800,2,0,1
66196,0,3.4187,1325,2,1,0
67268,1,2.0168,1480,0,1,0
67720,1,-0.5502,226,0,1,0
68938,0,2.3459,1371,1,1,0
70428,1,3.7934,1354,2,1,0
70822,1,-0.7034,197,0,1,0
72538,0,4.4842,1800,1,0,1
74046,1,3.1563,1612,1,1,0
74172,0,0.9201,817,0,1,0
74782,0,-0.2939,305,0,1,0
76362,0,1.3262,790,1,1,0
77354,1,3.1645,1654,1,1,0
77588,0,1.7530,613,2,1,0
80954,1,5.0176,1800,2,0,1
81188,0,3.2786,1800,0,0,1
81812,0,-0.0436,312,0,1,0
82536,0,0.6036,362,1,1,0
82542,1,0.7614,794,0,1,0
82900,1,-0.5103,179,0,1,0
83138,0,0.7118,301,1,1,0
83502,1,-0.4957,301,0,1,0
84298,0,1.0624,580,1,1,0
85634,1,1.6530,1066,1,1,0
85976,0,2.0849,839,1,1,0
85976,1,-0.6453,171,0,1,0
86154,0,-0.5322,89,0,1,0
86758,0,-0.5950,302,0,1,0
87350,1,1.9799,687,2,1,0
87696,0,0.8012,469,1,1,0
88766,1,0.1949,708,0,1,0
90882,0,1.9176,1593,0,1,0
92366,1,3.8646,1800,1,0,1
92442,1,-0.7137,38,0,1,0
92792,1,-0.5546,175,0,1,0
93842,1,-0.0421,525,0,1,0
94242,1,-0.5746,200,0,1,0
94482,0,4.9846,1800,1,0,1
96914,0,3.0222,1216,1,1,0
97450,0,-0.6259,268,0,1,0
97842,1,4.0242,1800,0,0,1
98640,1,0.1431,399,0,1,0
101050,0,6.4645,1800,2,0,1
102240,1,4.9533,1800,1,0,1
104334,0,3.2200,1642,1,1,0
105840,1,5.9328,1800,2,0,1
106932,1,0.3458,546,0,1,0
107144,0,1.5827,1405,0,1,0
107156,1,-0.6225,112,0,1,0
110744,0,4.8581,1800,1,0,1
110756,1,3.3704,1800,0,0,1
111176,0,-0.4440,216,0,1,0
114182,0,2.4531,1503,1,1,0
114356,1,4.4768,1800,1,0,1
115190,1,0.1393,417,0,1,0
115680,1,-0.5754,245,0,1,0
117782,0,3.8875,1800,1,0,1
118590,1,1.9592,1455,0,1,0
118974,1,-0.6139,192,0,1,0
119092,0,-0.0290,655,0,1,0
119352,1,-0.5419,189,0,1,0
119598,0,0.3880,253,1,1,0
119744,1,-0.4221,196,0,1,0
121034,1,0.8563,645,1,1,0
121738,1,-0.4642,352,0,1,0
122160,1,-0.5164,211,0,1,0
122700,1,-0.5013,270,0,1,0
123198,0,4.4008,1800,0,0,1
124832,1,1.1069,1066,0,1,0
125578,1,-0.3325,373,0,1,0
126798,0,3.4392,1800,0,0,1
127098,1,1.0188,760,1,1,0
127512,1,-0.6640,207,0,1,0
127770,0,0.3825,486,0,1,0
129590,1,1.3732,1039,1,1,0
