step,env_idx,ep_r,ep_len,ep_kills,terminated,truncated
482,0,1.7590,242,3,1,0
668,1,3.6660,335,5,1,0
1140,1,1.7640,236,3,1,0
1606,0,4.4390,562,6,1,0
1666,1,1.7380,263,3,1,0
2154,0,1.7270,274,3,1,0
2734,1,5.4670,534,7,1,0
2916,1,-0.0910,91,1,1,0
3196,0,4.4800,521,6,1,0
3412,1,0.7530,248,2,1,0
3708,0,1.7450,256,3,1,0
3844,1,1.7850,216,3,1,0
4566,1,2.6390,361,4,1,0
4628,0,3.5410,460,5,1,0
5536,1,3.5160,485,5,1,0
5780,0,4.4250,576,6,1,0
6070,0,-0.1450,145,1,1,0
6250,1,2.6440,357,4,1,0
7360,1,4.4450,555,6,1,0
7402,0,7.3350,666,9,1,0
7904,0,1.7490,251,3,1,0
8436,1,4.4630,538,6,1,0
9012,1,1.7120,288,3,1,0
9032,0,5.4370,564,7,1,0
9578,0,1.7270,273,3,1,0
10518,0,3.5300,470,5,1,0
10634,1,10.1899,811,12,1,0
10978,1,-0.1720,172,1,1,0
11182,0,2.6690,332,4,1,0
11606,1,3.6870,314,5,1,0
11782,0,1.7010,300,3,1,0
12048,0,-0.1330,133,1,1,0
12106,1,0.7510,250,2,1,0
12838,0,4.6060,395,6,1,0
12882,1,3.6130,388,5,1,0
13046,0,-0.1030,104,1,1,0
13520,1,2.6820,319,4,1,0
13854,0,2.5970,404,4,1,0
13886,1,1.8180,183,3,1,0
14302,0,1.7770,224,3,1,0
14484,1,2.7020,299,4,1,0
15046,0,2.6290,372,4,1,0
15050,1,1.7180,283,3,1,0
15924,0,2.5620,439,4,1,0
16136,1,6.4580,543,8,1,0
17494,0,9.2160,785,11,1,0
17524,1,7.3070,694,9,1,0
20188,1,15.6678,1332,18,1,0
20424,0,19.5360,1465,22,1,0
22940,1,18.6249,1376,21,1,0
23624,0,18.4009,1600,21,1,0
24448,1,7.2470,754,9,1,0
26116,1,8.1659,834,10,1,0
26452,0,16.5868,1414,19,1,0
27236,1,5.4410,560,7,1,0
27408,0,5.5230,478,7,1,0
27792,1,2.7230,278,4,1,0
28586,0,5.4120,589,7,1,0
28680,1,5.5570,444,7,1,0
30042,0,7.2730,728,9,1,0
30092,1,7.2950,706,9,1,0
30536,0,1.7540,247,3,1,0
31024,1,3.5350,466,5,1,0
31698,0,6.4200,581,8,1,0
32530,1,8.2480,753,10,1,0
33352,1,4.5890,411,6,1,0
33372,0,9.1639,837,11,1,0
34208,1,3.5730,428,5,1,0
34942,1,3.6330,367,5,1,0
35094,0,10.1400,861,12,1,0
35828,1,3.5580,443,5,1,0
36324,0,6.3860,615,8,1,0
36968,1,4.4310,570,6,1,0
37498,0,5.4140,587,7,1,0
38024,1,4.4730,528,6,1,0
38138,0,3.6810,320,5,1,0
38658,0,1.7400,260,3,1,0
39558,1,8.2340,767,10,1,0
40212,0,8.2240,777,10,1,0
40750,1,6.4050,596,8,1,0
41028,0,3.5930,408,5,1,0
41556,1,2.5980,403,4,1,0
41804,0,2.6130,388,4,1,0
42684,1,5.4370,564,7,1,0
43204,0,6.3010,700,8,1,0
43356,1,2.6650,336,4,1,0
44494,0,6.3560,645,8,1,0
45294,1,11.0319,969,13,1,0
45362,0,2.5670,434,4,1,0
46252,0,3.5550,445,5,1,0
46478,1,4.4090,592,6,1,0
47022,0,2.6160,385,4,1,0
47792,1,8.3440,657,10,1,0
47794,0,2.6150,386,4,1,0
49052,0,7.3710,629,9,1,0
49152,1,6.3210,680,8,1,0
50018,1,2.5670,433,4,1,0
50432,0,6.3110,690,8,1,0
51244,1,6.3880,613,8,1,0
52036,0,11.1989,802,13,1,0
52066,1,2.5900,411,4,1,0
52814,1,1.6260,374,3,1,0
53648,1,3.5830,417,5,1,0
53694,0,8.1720,829,10,1,0
54520,1,4.5650,436,6,1,0
54800,0,3.4480,553,5,1,0
55040,1,1.7410,260,3,1,0
55622,0,3.5900,411,5,1,0
56002,1,4.5200,481,6,1,0
56150,0,1.7370,264,3,1,0
56632,1,1.6860,315,3,1,0
57362,1,2.6350,365,4,1,0
57618,0,7.2670,734,9,1,0
57998,1,1.6830,318,3,1,0
58444,0,2.5880,413,4,1,0
59276,1,4.3620,639,6,1,0
59758,0,5.3440,657,7,1,0
60374,1,7.4520,549,9,1,0
61890,0,10.9349,1066,13,1,0
62364,1,9.0059,995,11,1,0
62938,0,3.4770,524,5,1,0
63556,1,5.4050,596,7,1,0
64796,1,5.3800,620,7,1,0
65190,0,10.8749,1126,13,1,0
65666,0,0.7620,238,2,1,0
65786,1,3.5060,495,5,1,0
67914,1,12.9359,1064,15,1,0
68260,0,12.7038,1297,15,1,0
68956,1,2.4800,521,4,1,0
69602,0,7.3300,671,9,1,0
69836,1,3.5610,440,5,1,0
69864,0,-0.1300,131,1,1,0
70206,0,0.8290,171,2,1,0
70836,1,5.5010,500,7,1,0
71250,1,0.7930,207,2,1,0
71412,0,6.3980,603,8,1,0
71884,0,0.7640,236,2,1,0
72256,1,4.4980,503,6,1,0
72662,1,0.7970,203,2,1,0
73122,0,5.3820,619,7,1,0
74530,1,8.0670,934,10,1,0
74566,0,8.2790,722,10,1,0
75532,0,3.5170,483,5,1,0
76632,1,12.9498,1051,15,1,0
77564,1,3.5340,466,5,1,0
77566,0,11.9839,1017,14,1,0
78336,1,3.6150,386,5,1,0
78348,0,3.6100,391,5,1,0
79114,0,3.6170,383,5,1,0
79446,1,5.4460,555,7,1,0
79540,0,0.7880,213,2,1,0
80124,0,1.7080,292,3,1,0
80282,1,3.5830,418,5,1,0
80718,0,3.7040,297,5,1,0
80808,1,1.7380,263,3,1,0
81494,1,2.6570,343,4,1,0
81676,0,3.5220,479,5,1,0
82110,0,1.7830,217,3,1,0
82150,1,0.6730,328,2,1,0
82662,1,1.7440,256,3,1,0
82750,0,1.6810,320,3,1,0
83230,0,2.7600,240,4,1,0
84078,1,6.2930,708,8,1,0
84122,0,3.5550,446,5,1,0
84658,1,1.7110,290,3,1,0
84926,0,4.5990,402,6,1,0
84968,1,0.8460,155,2,1,0
85622,0,2.6530,348,4,1,0
85724,1,2.6230,378,4,1,0
86086,0,1.7690,232,3,1,0
86498,1,3.6140,387,5,1,0
86500,0,0.7940,207,2,1,0
87248,0,3.6260,374,5,1,0
87482,1,3.5090,492,5,1,0
87826,0,1.7120,289,3,1,0
87932,1,0.7760,225,2,1,0
88338,1,0.7970,203,2,1,0
88532,0,3.6480,353,5,1,0
89050,1,2.6450,356,4,1,0
89270,0,2.6320,369,4,1,0
89320,1,-0.1340,135,1,1,0
90054,1,2.6330,367,4,1,0
90090,0,3.5910,410,5,1,0
90848,1,4.6040,397,6,1,0
90850,0,4.6210,380,6,1,0
91392,1,0.7290,272,2,1,0
91978,0,5.4370,564,7,1,0
92076,1,2.6590,342,4,1,0
92484,1,0.7960,204,2,1,0
92680,0,3.6500,351,5,1,0
93114,1,1.6860,315,3,1,0
93116,0,1.7830,218,3,1,0
93846,1,2.6350,366,4,1,0
94380,0,6.3690,632,8,1,0
