step,env_idx,ep_r,ep_len,ep_kills,terminated,truncated
1912,1,0.5680,957,2,1,0
1918,0,0.6710,960,2,1,0
2324,1,-0.9950,206,0,1,0
2354,0,-1.0070,218,0,1,0
2578,1,-1.0210,127,0,1,0
2756,0,-1.2000,201,0,1,0
3326,0,-0.0750,285,1,1,0
4026,0,-0.0350,350,1,1,0
4884,1,0.2680,1153,2,1,0
5674,1,1.1300,395,2,1,0
6742,1,2.0960,534,3,1,0
7626,0,-1.5900,1800,0,0,1
8214,0,0.9160,294,2,1,0
8544,0,-1.0600,165,0,1,0
10342,1,-1.5900,1800,0,0,1
10368,1,-1.0130,13,0,1,0
10526,0,-1.9900,991,0,1,0
10834,0,-0.9440,154,0,1,0
11216,1,-0.2130,424,1,1,0
11656,1,-1.1150,220,0,1,0
11758,0,-0.2510,462,1,1,0
12280,0,1.1590,261,2,1,0
13808,0,-1.5540,764,0,1,0
14166,1,-2.1490,1255,0,1,0
14374,0,-1.0720,283,0,1,0
14374,1,-1.1030,104,0,1,0
16184,1,-1.8000,905,0,1,0
17974,0,-1.6950,1800,0,0,1
19784,1,-1.8000,1800,0,0,1
21574,0,-1.8000,1800,0,0,1
22282,0,-1.3540,354,0,1,0
23296,0,2.2280,507,3,1,0
23384,1,0.8300,1800,2,0,1
24522,0,0.9120,613,2,1,0
25176,1,0.3150,896,2,1,0
25554,0,2.1150,516,3,1,0
26286,0,-0.1560,366,1,1,0
27184,1,-0.7930,1004,1,1,0
27378,0,-0.3350,546,1,1,0
28118,0,-0.1600,370,1,1,0
28952,1,-0.6730,884,1,1,0
29066,0,1.0520,474,2,1,0
29424,0,0.0310,179,1,1,0
29840,0,0.2120,208,1,1,0
30242,0,-1.0960,201,0,1,0
30802,0,-0.0700,280,1,1,0
30882,1,-1.9640,965,0,1,0
32388,1,-0.4380,753,1,1,0
34402,0,-1.8000,1800,0,0,1
34850,0,-1.1190,224,0,1,0
34930,1,-1.0600,1271,1,1,0
35154,1,-0.9020,112,0,1,0
36600,0,-1.6640,875,0,1,0
37010,0,0.0050,205,1,1,0
38754,1,-1.8000,1800,0,0,1
40352,0,-0.2510,1671,2,1,0
40710,0,-0.9690,179,0,1,0
42354,1,-1.6950,1800,0,0,1
44310,0,-1.8000,1800,0,0,1
45886,1,0.7600,1766,3,1,0
47910,0,0.8300,1800,2,0,1
48232,1,0.2480,1173,2,1,0
50052,1,-0.7000,910,1,1,0
50326,0,-1.1020,1208,1,1,0
50706,0,0.0200,190,1,1,0
50998,0,-1.0410,146,0,1,0
51242,0,-1.0170,122,0,1,0
51836,0,1.2280,297,2,1,0
53652,1,-1.6950,1800,0,0,1
55436,0,-1.6950,1800,0,0,1
57252,1,-1.6950,1800,0,0,1
58904,1,0.4890,826,2,1,0
59036,0,-0.6950,1800,1,0,1
59276,0,-1.1200,120,0,1,0
61086,1,-0.6700,1091,1,1,0
62876,0,-1.5900,1800,0,0,1
64686,1,-1.5900,1800,0,0,1
66476,0,-1.8000,1800,0,0,1
68286,1,-1.8000,1800,0,0,1
69672,1,-0.6930,693,1,1,0
70076,0,-1.8000,1800,0,0,1
71706,1,-0.5970,1017,1,1,0
72182,1,-1.2380,238,0,1,0
73676,0,-1.8000,1800,0,0,1
75782,1,-0.4850,1800,1,0,1
77276,0,-1.8000,1800,0,0,1
79382,1,-1.8000,1800,0,0,1
80876,0,-1.8000,1800,0,0,1
82982,1,-1.8000,1800,0,0,1
84476,0,-1.8000,1800,0,0,1
86582,1,-1.8000,1800,0,0,1
88076,0,-1.8000,1800,0,0,1
90182,1,-1.8000,1800,0,0,1
90452,1,-1.1350,135,0,1,0
91676,0,-1.8000,1800,0,0,1
94052,1,-1.5900,1800,0,0,1
95276,0,-1.8000,1800,0,0,1
97652,1,-1.8000,1800,0,0,1
98876,0,-1.8000,1800,0,0,1
101252,1,-1.8000,1800,0,0,1
102476,0,-1.8000,1800,0,0,1
104852,1,-1.8000,1800,0,0,1
106076,0,-1.8000,1800,0,0,1
108452,1,-1.8000,1800,0,0,1
109676,0,-1.8000,1800,0,0,1
