step,env_idx,ep_r,ep_len,ep_kills,terminated,truncated
1324,0,-0.2430,663,1,1,0
3598,1,-1.6950,1800,0,0,1
4924,0,-0.5900,1800,1,0,1
7198,1,-1.8000,1800,0,0,1
8524,0,-1.8000,1800,0,0,1
10798,1,-1.8000,1800,0,0,1
12124,0,-1.8000,1800,0,0,1
14398,1,-1.8000,1800,0,0,1
15724,0,-1.8000,1800,0,0,1
17998,1,-1.8000,1800,0,0,1
19324,0,-1.8000,1800,0,0,1
21598,1,-1.8000,1800,0,0,1
22924,0,-1.8000,1800,0,0,1
25198,1,-1.8000,1800,0,0,1
26524,0,-1.8000,1800,0,0,1
28798,1,-1.8000,1800,0,0,1
30124,0,-1.8000,1800,0,0,1
32398,1,-1.8000,1800,0,0,1
33724,0,-1.8000,1800,0,0,1
35998,1,-1.8000,1800,0,0,1
37324,0,-1.8000,1800,0,0,1
39598,1,-1.8000,1800,0,0,1
40924,0,-1.8000,1800,0,0,1
43198,1,-1.8000,1800,0,0,1
44524,0,-1.8000,1800,0,0,1
46798,1,-1.8000,1800,0,0,1
48124,0,-1.8000,1800,0,0,1
50398,1,-1.8000,1800,0,0,1
51724,0,-1.8000,1800,0,0,1
53998,1,-1.8000,1800,0,0,1
55324,0,-1.8000,1800,0,0,1
57598,1,-1.8000,1800,0,0,1
58924,0,-1.8000,1800,0,0,1
61198,1,-1.8000,1800,0,0,1
62524,0,-1.8000,1800,0,0,1
64798,1,-1.8000,1800,0,0,1
66124,0,-1.8000,1800,0,0,1
68398,1,-1.8000,1800,0,0,1
69724,0,-1.8000,1800,0,0,1
71998,1,-1.8000,1800,0,0,1
73324,0,-1.8000,1800,0,0,1
75598,1,-1.8000,1800,0,0,1
76924,0,-1.8000,1800,0,0,1
79198,1,-1.8000,1800,0,0,1
80524,0,-1.8000,1800,0,0,1
82798,1,-1.8000,1800,0,0,1
84124,0,-1.8000,1800,0,0,1
86398,1,-1.8000,1800,0,0,1
87724,0,-1.8000,1800,0,0,1
89998,1,-1.8000,1800,0,0,1
91324,0,-1.8000,1800,0,0,1
93598,1,-1.8000,1800,0,0,1
94924,0,-1.8000,1800,0,0,1
97198,1,-1.8000,1800,0,0,1
98524,0,-1.8000,1800,0,0,1
100798,1,-1.8000,1800,0,0,1
102124,0,-1.8000,1800,0,0,1
104398,1,-1.8000,1800,0,0,1
105724,0,-1.8000,1800,0,0,1
107998,1,-1.8000,1800,0,0,1
109324,0,-1.8000,1800,0,0,1
111598,1,-1.8000,1800,0,0,1
112924,0,-1.8000,1800,0,0,1
115198,1,-1.8000,1800,0,0,1
116524,0,-1.8000,1800,0,0,1
118798,1,-1.8000,1800,0,0,1
120124,0,-1.8000,1800,0,0,1
122398,1,-1.8000,1800,0,0,1
123724,0,-1.8000,1800,0,0,1
125998,1,-1.8000,1800,0,0,1
127324,0,-1.8000,1800,0,0,1
129598,1,-1.8000,1800,0,0,1
130924,0,-1.8000,1800,0,0,1
133198,1,-1.8000,1800,0,0,1
134524,0,-1.8000,1800,0,0,1
136798,1,-1.8000,1800,0,0,1
138124,0,-1.8000,1800,0,0,1
140398,1,-1.8000,1800,0,0,1
141724,0,-1.8000,1800,0,0,1
143998,1,-1.8000,1800,0,0,1
145324,0,-1.8000,1800,0,0,1
147598,1,-1.8000,1800,0,0,1
148924,0,-1.8000,1800,0,0,1
151198,1,-1.8000,1800,0,0,1
152524,0,-1.8000,1800,0,0,1
154798,1,-1.8000,1800,0,0,1
156124,0,-1.8000,1800,0,0,1
158398,1,-1.8000,1800,0,0,1
159724,0,-1.8000,1800,0,0,1
161998,1,-1.8000,1800,0,0,1
163324,0,-1.8000,1800,0,0,1
165598,1,-1.8000,1800,0,0,1
166924,0,-1.8000,1800,0,0,1
169198,1,-1.8000,1800,0,0,1
170524,0,-1.8000,1800,0,0,1
172798,1,-1.8000,1800,0,0,1
174124,0,-1.8000,1800,0,0,1
176398,1,-1.8000,1800,0,0,1
177724,0,-1.8000,1800,0,0,1
179998,1,-1.8000,1800,0,0,1
181324,0,-1.8000,1800,0,0,1
183598,1,-1.8000,1800,0,0,1
184924,0,-1.8000,1800,0,0,1
187198,1,-1.8000,1800,0,0,1
188524,0,-1.8000,1800,0,0,1
190798,1,-1.8000,1800,0,0,1
192124,0,-1.8000,1800,0,0,1
194398,1,-1.8000,1800,0,0,1
195724,0,-1.8000,1800,0,0,1
197998,1,-1.8000,1800,0,0,1
199324,0,-1.8000,1800,0,0,1
