step,env_idx,ep_r,ep_len,ep_kills,terminated,truncated
416,0,-1.2090,209,0,1,0
2716,1,-2.1480,1359,0,1,0
2970,1,-1.1270,127,0,1,0
3616,1,-0.9030,323,0,1,0
4016,0,0.0400,1800,1,0,1
4642,1,-1.0930,513,0,1,0
5386,0,-0.4740,685,1,1,0
5728,0,-1.1710,171,0,1,0
6184,0,-1.0180,228,0,1,0
6642,0,-0.8090,229,0,1,0
7750,1,2.1271,1554,3,1,0
8612,0,-0.1440,985,1,1,0
8888,0,-1.1380,138,0,1,0
11004,1,-2.6260,1627,0,1,0
11552,1,0.1460,274,1,1,0
12488,0,-1.3800,1800,0,0,1
15152,1,-0.1700,1800,1,0,1
16088,0,-1.8000,1800,0,0,1
18752,1,-1.5900,1800,0,0,1
19688,0,0.6200,1800,2,0,1
20668,0,-0.0700,490,1,1,0
20996,1,-0.9110,1122,1,1,0
24268,0,1.0400,1800,2,0,1
24596,1,-1.5900,1800,0,0,1
25510,0,-0.2010,621,1,1,0
28196,1,-0.5900,1800,1,0,1
29110,0,0.0400,1800,1,0,1
30644,1,-0.3840,1224,1,1,0
31420,0,-2.1540,1155,0,1,0
31904,0,-0.8220,242,0,1,0
34244,1,-1.8000,1800,0,0,1
35504,0,-1.8000,1800,0,0,1
37844,1,-1.8000,1800,0,0,1
39104,0,-1.8000,1800,0,0,1
39646,1,-1.9010,901,0,1,0
41890,0,-2.3920,1393,0,1,0
42208,1,-2.0700,1281,0,1,0
45490,0,-1.3800,1800,0,0,1
45808,1,-1.8000,1800,0,0,1
49090,0,-1.8000,1800,0,0,1
49408,1,-1.8000,1800,0,0,1
52690,0,-1.8000,1800,0,0,1
53008,1,-1.3800,1800,0,0,1
56290,0,-1.8000,1800,0,0,1
56608,1,-1.8000,1800,0,0,1
59890,0,-1.8000,1800,0,0,1
60208,1,-1.8000,1800,0,0,1
63490,0,-1.8000,1800,0,0,1
63808,1,-1.8000,1800,0,0,1
67090,0,-1.8000,1800,0,0,1
67408,1,-1.8000,1800,0,0,1
69654,1,-1.1230,1123,1,1,0
70690,0,-1.8000,1800,0,0,1
70988,1,-1.6670,667,0,1,0
73690,1,-2.3510,1351,0,1,0
74290,0,2.2500,1800,3,0,1
77290,1,-1.5900,1800,0,0,1
77890,0,-1.8000,1800,0,0,1
80890,1,-1.8000,1800,0,0,1
81490,0,-1.8000,1800,0,0,1
84490,1,-1.8000,1800,0,0,1
85090,0,-1.8000,1800,0,0,1
88090,1,-1.8000,1800,0,0,1
88690,0,-1.8000,1800,0,0,1
91690,1,-1.8000,1800,0,0,1
92290,0,-1.5900,1800,0,0,1
95290,1,-1.8000,1800,0,0,1
95890,0,-1.8000,1800,0,0,1
98890,1,-1.8000,1800,0,0,1
99490,0,-1.8000,1800,0,0,1
102490,1,-1.8000,1800,0,0,1
103090,0,-1.8000,1800,0,0,1
105968,0,-1.2290,1439,1,1,0
106090,1,-1.8000,1800,0,0,1
109568,0,-1.8000,1800,0,0,1
109690,1,-1.8000,1800,0,0,1
113168,0,-1.8000,1800,0,0,1
113290,1,-1.8000,1800,0,0,1
116768,0,-1.8000,1800,0,0,1
116890,1,-1.8000,1800,0,0,1
120368,0,-1.8000,1800,0,0,1
120490,1,-1.8000,1800,0,0,1
123968,0,-1.8000,1800,0,0,1
124090,1,-1.8000,1800,0,0,1
127568,0,-1.8000,1800,0,0,1
127690,1,-1.8000,1800,0,0,1
131168,0,-1.8000,1800,0,0,1
131290,1,-1.8000,1800,0,0,1
134768,0,-1.8000,1800,0,0,1
134890,1,-1.8000,1800,0,0,1
138368,0,-1.8000,1800,0,0,1
138490,1,-1.8000,1800,0,0,1
141968,0,-1.8000,1800,0,0,1
142090,1,-1.8000,1800,0,0,1
145568,0,-1.8000,1800,0,0,1
145690,1,-1.8000,1800,0,0,1
149168,0,-1.8000,1800,0,0,1
149290,1,-1.8000,1800,0,0,1
152768,0,-1.8000,1800,0,0,1
152890,1,-1.8000,1800,0,0,1
156368,0,-1.8000,1800,0,0,1
156490,1,-1.8000,1800,0,0,1
159968,0,-1.8000,1800,0,0,1
160090,1,-1.8000,1800,0,0,1
163568,0,-1.8000,1800,0,0,1
163690,1,-1.8000,1800,0,0,1
167168,0,-1.8000,1800,0,0,1
167290,1,-1.8000,1800,0,0,1
170768,0,-1.8000,1800,0,0,1
170890,1,-1.8000,1800,0,0,1
174368,0,-1.8000,1800,0,0,1
174490,1,-1.8000,1800,0,0,1
177968,0,-1.8000,1800,0,0,1
178090,1,-1.8000,1800,0,0,1
181568,0,-1.8000,1800,0,0,1
181690,1,-1.8000,1800,0,0,1
185168,0,-1.8000,1800,0,0,1
185290,1,-1.8000,1800,0,0,1
188768,0,-1.8000,1800,0,0,1
188890,1,-1.8000,1800,0,0,1
192368,0,-1.8000,1800,0,0,1
192490,1,-1.8000,1800,0,0,1
195968,0,-1.8000,1800,0,0,1
196090,1,-1.8000,1800,0,0,1
199568,0,-1.8000,1800,0,0,1
199690,1,-1.8000,1800,0,0,1
